Scientific.Name	countsMT	countsPT	palm	hasEctoparasite	hasEndoparasite	hostOf	isEatenBy	mutualisticWith	parasiteOf	parasitizedBy	symbiontOf	trophic.guild.x	life.span	ecoregion	photosynthetic.rate	locomotion	shade.tolerance	plant.growth.form	grass.growth.type	life.cycle.habit	Mating.System	calcareous.soil.tolerance	growth.rate	eats	motility	ectoparasite.of	ecomorphological.guild	salt.tolerance	drought.tolerance	tissue.contains	germination.requirements	fire.tolerance	developmental.mode	reproduction	Social.System	basal.metabolic.rate	nitrogen.fixation	plant.lifeform	sexual.system	parasitoid.of	pH	number.of.hosts	leaf.morphology	endoparasite.of	photosynthetic.pathway	propagule	anaerobic.soil.tolerance	trophic.level	sexually.dimorphic	litters.per.year	woodiness	has.host	dispersal.age	trophic.guild.y	Ancestry	toleranceGeneral	aquatics	dependency	advancedPhotPathway	unicellularity	HasMSH1	gsize	GCperc	NCBIcount	name	preferred.name	taxid	isEndoparasite	isEctoparasite	water	migration	thermalBiology	hostAge	waveExposed	habitat	intertidal
abalistes stellaris	13																																																						Life | Cellular | Eukaryota | Opisthokonta | Metazoa | Bilateria | Deuterostomia | Chordata | Vertebrata | Gnathostomata | Osteichthyes | Actinopterygii | Neopterygii | Teleostei | Euteleostei | Neoteleostei | Acanthopterygii | Tetraodontiformes | Balistoidei | Balistidae | Abalistes					multicellular		0.016502	44.4189	13	abalistes stellaris	abalistes stellaris	392897								sea sand	
abax parallelepipedus	13																																																						Life | Cellular | Eukaryota | Opisthokonta | Metazoa | Bilateria | Protostomia | Ecdysozoa | Panarthropoda | Arthropoda | Pancrustacea | Hexapoda | Insecta | Pterygota | Neoptera | Endopterygota | Coleoptera | Adephaga | Carabidae					multicellular		0.017701	20.7446	13	abax parallelepipedus	abax parallelepipedus	102642								terrestrial	
abbottina obtusirostris	13																																																						Life | Cellular | Eukaryota | Opisthokonta | Metazoa | Bilateria | Deuterostomia | Chordata | Vertebrata | Gnathostomata | Osteichthyes | Actinopterygii | Neopterygii | Teleostei | Elopomorpha | Anguilliformes | Congridae | Gorgasia					multicellular		0.016599	44.0629	13	abbottina obtusirostris	abbottina obtusirostris	1463498								freshwater	
abbottina rivularis	13							mutualisticWith			symbiontOf																																												Life | Cellular | Eukaryota | Opisthokonta | Metazoa | Bilateria | Deuterostomia | Chordata | Vertebrata | Gnathostomata | Osteichthyes | Sarcopterygii | Tetrapoda | Amniota | Reptilia | Diapsida | Archosauromorpha | Archosauria | Dinosauria | Saurischia | Theropoda | Tetanurae | Coelurosauria | Maniraptoriformes | Maniraptora | Paraves | Aves | Ornithurae | Neornithes | Neognathae | Neoaves | landbirds | Passeriformes | Suboscines | Tyrannidae | Ochthoeca			depend		multicellular		0.016597	44.2911	13	abbottina rivularis	abbottina rivularis	75332								freshwater	
abidama producta	13																																																											multicellular		0.015277	22.6484	13	abidama producta	abidama producta	658384									
abisara fylloides	13																																																											multicellular		0.015301	18.8288	13	abisara fylloides	abisara fylloides	473868									
ablennes hians	13						isEatenBy				symbiontOf													eats																															Life | Cellular | Eukaryota | Opisthokonta | Metazoa | Bilateria | Protostomia | Ecdysozoa | Panarthropoda | Tardigrada | Heterotardigrada | Arthrotardigrada | Neoarctidae | Neoarctus			depend		multicellular		0.016825	41.7415	13	ablennes hians	ablennes hians	129035								subtropical	
aborichthys elongatus	13																																																						Life | Cellular | Eukaryota | Archaeplastida | Chloroplastida | Streptophyta | Embryophytes | Tracheophyta | Spermatophytes | Angiosperms | Eudicots | Superrosids | Rosids | Brassicales | Brassicaceae | Physaria					multicellular		0.016544	40.5404	13	aborichthys elongatus	aborichthys elongatus	643435								freshwater	
abramis brama	13				hasEndoparasite	hostOf		mutualisticWith		parasitizedBy			23											eats																	75														Life | Cellular | Eukaryota | Opisthokonta | Metazoa | Bilateria | Deuterostomia | Chordata | Vertebrata | Gnathostomata | Osteichthyes | Sarcopterygii | Tetrapoda | Amniota | Reptilia | Diapsida | Archosauromorpha | Archosauria | Dinosauria | Saurischia | Theropoda | Tetanurae | Coelurosauria | Maniraptoriformes | Maniraptora | Paraves | Aves | Ornithurae | Neornithes | Neognathae | Neoaves | landbirds | Passeriformes | Oscines | Passeroidea | Motacillidae | Anthus			depend		multicellular		0.016607	43.0421	13	abramis brama	abramis brama	38527								coastal	
abraxas suspecta	13																																																											multicellular		0.015537	19.1285	13	abraxas suspecta	abraxas suspecta	1986468									
abronia graminea	13													Tehuac?n Valley matorral																																									Life | Cellular | Eukaryota | Opisthokonta | Metazoa | Bilateria | Deuterostomia | Chordata | Vertebrata | Gnathostomata | Osteichthyes | Sarcopterygii | Tetrapoda | Amniota | Reptilia | Diapsida | Archosauromorpha | Archosauria | Dinosauria | Saurischia | Theropoda | Tetanurae | Coelurosauria | Maniraptoriformes | Maniraptora | Paraves | Aves | Ornithurae | Neornithes | Neognathae | Neoaves | landbirds | Passeriformes | Oscines | Passeroidea | Thraupidae | Sporophila					multicellular		0.016016	39.6978	13	abronia graminea	abronia graminea	278977								marine	
abrornis inornata	13																																																											multicellular		0.016875	46.5185	13	abrornis inornata	 										
abrornis proregulus	13																																																											multicellular		0.01688	46.9727	13	abrornis proregulus	phylloscopus proregulus	56435									
