Scientific.Name	countsPT	countsMT	palm	hasEctoparasite	hasEndoparasite	hostOf	isEatenBy	mutualisticWith	parasiteOf	parasitizedBy	symbiontOf	trophic.guild.x	life.span	ecoregion	photosynthetic.rate	locomotion	shade.tolerance	plant.growth.form	grass.growth.type	life.cycle.habit	Mating.System	calcareous.soil.tolerance	growth.rate	eats	motility	ectoparasite.of	ecomorphological.guild	salt.tolerance	drought.tolerance	tissue.contains	germination.requirements	fire.tolerance	developmental.mode	reproduction	Social.System	basal.metabolic.rate	nitrogen.fixation	plant.lifeform	sexual.system	parasitoid.of	pH	number.of.hosts	leaf.morphology	endoparasite.of	photosynthetic.pathway	propagule	anaerobic.soil.tolerance	trophic.level	sexually.dimorphic	litters.per.year	woodiness	has.host	dispersal.age	trophic.guild.y	Ancestry	toleranceGeneral	aquatics	dependency	advancedPhotPathway	unicellularity	HasMSH1	gsize	GCperc	NCBIcount	name	preferred.name	taxid	isEndoparasite	isEctoparasite	water	migration	thermalBiology	hostAge	waveExposed	habitat	intertidal
euonymus hamiltonianus	76						isEatenBy	mutualisticWith			symbiontOf																terrestrial plant											terrestrial plant					broad		C3 photosynthetic plant						woody				Life | Cellular | Eukaryota | Archaeplastida | Chloroplastida | Streptophyta | Embryophytes | Tracheophyta | Spermatophytes | Angiosperms | Eudicots | Superrosids | Rosids | Celastrales | Celastraceae | Euonymus			depend	C3 photosynthetic plant	multicellular		0.15736	37.2515	86	euonymus hamiltonianus	euonymus hamiltonianus	408194									
eurya alata	76																																										broad								woody				Life | Cellular | Eukaryota | Archaeplastida | Chloroplastida | Streptophyta | Embryophytes | Tracheophyta | Spermatophytes | Angiosperms | Eudicots | Superasterids | Asterids | Ericales | Pentaphylacaceae | Eurya					multicellular		0.155179	37.4432	87	eurya alata	eurya alata	197077									
euryale ferox	76																										aquatic plant											aquatic plant					broad		C3 photosynthetic plant						herbaceous				Life | Cellular | Eukaryota | Archaeplastida | Chloroplastida | Streptophyta | Embryophytes | Tracheophyta | Spermatophytes | Angiosperms | Nymphaeales | Nymphaeaceae | Euryale		aquatic		C3 photosynthetic plant	multicellular		0.15993	39.0777	84	euryale ferox	euryale ferox	4414									
euryodendron excelsum	76																																										simple								woody				Life | Cellular | Eukaryota | Archaeplastida | Chloroplastida | Streptophyta | Embryophytes | Tracheophyta | Spermatophytes | Angiosperms | Eudicots | Superasterids | Asterids | Ericales | Pentaphylacaceae | Euryodendron					multicellular		0.157702	37.3343	88	euryodendron excelsum	euryodendron excelsum	194712									
evelyna sodiroi	76																																																											multicellular		0.161511	37.13	86	evelyna sodiroi	evelyna sodiroi	1534760									
exostigma notobellidiastrum	76																										lithophyte											lithophyte																	Life | Cellular | Eukaryota | Archaeplastida | Chloroplastida | Streptophyta | Embryophytes | Tracheophyta | Spermatophytes | Angiosperms | Eudicots | Superasterids | Asterids | Asterales | Asteraceae | Exostigma					multicellular		0.151699	37.3285	85	exostigma notobellidiastrum	exostigma notobellidiastrum	72967									
fagopyrum dibotrys	76																																																											multicellular		0.15932	37.9256	85	fagopyrum dibotrys	fagopyrum dibotrys	516549									
fagopyrum luojishanense	76																																																											multicellular		0.159265	37.8388	86	fagopyrum luojishanense	fagopyrum luojishanense	1974217									
fallopia multiflora	76																																																											multicellular		0.163773	37.4622	85	fallopia multiflora	fallopia multiflora	76025									
firmiana simplex	76					hostOf	isEatenBy			parasitizedBy																	terrestrial plant											terrestrial plant					broad		C3 photosynthetic plant						woody				Life | Cellular | Eukaryota | Archaeplastida | Chloroplastida | Streptophyta | Embryophytes | Tracheophyta | Spermatophytes | Angiosperms | Eudicots | Superrosids | Rosids | Malvales | Malvaceae | Firmiana			depend	C3 photosynthetic plant	multicellular		0.161268	36.8722	85	firmiana simplex	firmiana simplex	190243									
floscaldasia hypsophila	76																																																											multicellular		0.1522	37.3167	85	floscaldasia hypsophila	floscaldasia hypsophila	381997									
foeniculum vulgare	76						isEatenBy				symbiontOf																terrestrial plant											terrestrial plant					broad		C3 photosynthetic plant						herbaceous				Life | Cellular | Eukaryota | Archaeplastida | Chloroplastida | Streptophyta | Embryophytes | Tracheophyta | Spermatophytes | Angiosperms | Eudicots | Superasterids | Asterids | Apiales | Apiaceae | Foeniculum			depend	C3 photosynthetic plant	multicellular		0.153628	37.6487	85	foeniculum vulgare	foeniculum vulgare	48038									
forestiera angustifolia	76																										terrestrial plant											terrestrial plant					broad		C3 photosynthetic plant						woody				Life | Cellular | Eukaryota | Archaeplastida | Chloroplastida | Streptophyta | Embryophytes | Tracheophyta | Spermatophytes | Angiosperms | Eudicots | Superasterids | Asterids | Lamiales | Oleaceae | Forestiera				C3 photosynthetic plant	multicellular		0.155019	37.9237	88	forestiera angustifolia	forestiera angustifolia	389174									
forestiera ligustrina	76																																																											multicellular		0.154936	37.9131	88	forestiera ligustrina	forestiera ligustrina	1539464									
forestiera phillyreoides	76							mutualisticWith																			terrestrial plant											terrestrial plant					broad		C3 photosynthetic plant						woody				Life | Cellular | Eukaryota | Archaeplastida | Chloroplastida | Streptophyta | Embryophytes | Tracheophyta | Spermatophytes | Angiosperms | Eudicots | Superasterids | Asterids | Lamiales | Oleaceae | Forestiera			depend	C3 photosynthetic plant	multicellular		0.154987	37.9335	88	forestiera phillyreoides	forestiera phillyreoides	2491097									
forestiera segregata	76																										terrestrial plant											terrestrial plant													woody				Life | Cellular | Eukaryota | Archaeplastida | Chloroplastida | Streptophyta | Embryophytes | Tracheophyta | Spermatophytes | Angiosperms | Eudicots | Superasterids | Asterids | Lamiales | Oleaceae | Forestiera					multicellular		0.155029	37.9297	88	forestiera segregata	forestiera segregata	126416									
forsythia x intermedia	76																																																													0.156376	37.798	87	forsythia x intermedia	forsythia x intermedia	55183									
francoa sonchifolia	76																																																											multicellular		0.157312	37.6367	81	francoa sonchifolia	francoa sonchifolia	23250									
frankenia laevis	76																										terrestrial plant											terrestrial plant					broad		C3 photosynthetic plant						woody				Life | Cellular | Eukaryota | Archaeplastida | Chloroplastida | Streptophyta | Embryophytes | Tracheophyta | Spermatophytes | Angiosperms | Eudicots | Superasterids | Caryophyllales | Frankeniaceae | Frankenia				C3 photosynthetic plant	multicellular		0.154889	37.2505	87	frankenia laevis	frankenia laevis	122303									
frankenia pulverulenta	76																										terrestrial plant											terrestrial plant					broad								herbaceous				Life | Cellular | Eukaryota | Archaeplastida | Chloroplastida | Streptophyta | Embryophytes | Tracheophyta | Spermatophytes | Angiosperms | Eudicots | Superasterids | Caryophyllales | Frankeniaceae | Frankenia					multicellular		0.154764	37.2025	87	frankenia pulverulenta	frankenia pulverulenta	63091									
franklinia alatamaha	76																																										broad								woody				Life | Cellular | Eukaryota | Archaeplastida | Chloroplastida | Streptophyta | Embryophytes | Tracheophyta | Spermatophytes | Angiosperms | Eudicots | Superasterids | Asterids | Ericales | Theaceae | Franklinia					multicellular		0.157626	37.4418	87	franklinia alatamaha	franklinia alatamaha	182302									
fraxinus americana	76					hostOf	isEatenBy	mutualisticWith		parasitizedBy			moderate life span				low tolerance		no			medium (normal)	moderate				terrestrial plant	medium (normal)	low tolerance		yes	medium (normal)						terrestrial plant					broad		C3 photosynthetic plant		low tolerance				woody				Life | Cellular | Eukaryota | Archaeplastida | Chloroplastida | Streptophyta | Embryophytes | Tracheophyta | Spermatophytes | Angiosperms | Eudicots | Superasterids | Asterids | Lamiales | Oleaceae | Fraxinus	tolerance		depend	C3 photosynthetic plant	multicellular		0.155602	37.853	88	fraxinus americana	fraxinus americana	38872									
fraxinus angustifolia	76							mutualisticWith																			terrestrial plant											terrestrial plant					broad		C3 photosynthetic plant	seed					woody				Life | Cellular | Eukaryota | Archaeplastida | Chloroplastida | Streptophyta | Embryophytes | Tracheophyta | Spermatophytes | Angiosperms | Eudicots | Superasterids | Asterids | Lamiales | Oleaceae | Fraxinus | Fraxinus angustifolia			depend	C3 photosynthetic plant	multicellular		0.155574	37.8289	88	fraxinus angustifolia	fraxinus angustifolia	166594									
fraxinus chiisanensis	76																																																											multicellular		0.155541	37.8942	87	fraxinus chiisanensis	fraxinus chiisanensis	490838									
fraxinus lanuginosa	76																										terrestrial plant											terrestrial plant					broad		C3 photosynthetic plant						woody				Life | Cellular | Eukaryota | Archaeplastida | Chloroplastida | Streptophyta | Embryophytes | Tracheophyta | Spermatophytes | Angiosperms | Eudicots | Superasterids | Asterids | Lamiales | Oleaceae | Fraxinus				C3 photosynthetic plant	multicellular		0.155628	37.8647	88	fraxinus lanuginosa	fraxinus lanuginosa	490843									
fraxinus latifolia	76												moderate life span				medium (normal)		no			low tolerance	moderate				terrestrial plant	none	low tolerance		yes	medium (normal)						terrestrial plant					broad		C3 photosynthetic plant		high tolerance				woody				Life | Cellular | Eukaryota | Archaeplastida | Chloroplastida | Streptophyta | Embryophytes | Tracheophyta | Spermatophytes | Angiosperms | Eudicots | Superasterids | Asterids | Lamiales | Oleaceae | Fraxinus	tolerance			C3 photosynthetic plant	multicellular		0.155606	37.8424	88	fraxinus latifolia	fraxinus latifolia	56040									
fraxinus mandshurica	76																										terrestrial plant											terrestrial plant					broad		C3 photosynthetic plant						woody				Life | Cellular | Eukaryota | Archaeplastida | Chloroplastida | Streptophyta | Embryophytes | Tracheophyta | Spermatophytes | Angiosperms | Eudicots | Superasterids | Asterids | Lamiales | Oleaceae | Fraxinus				C3 photosynthetic plant	multicellular		0.15553	37.8216	88	fraxinus mandshurica	fraxinus mandshurica	56029									
fraxinus pennsylvanica	76						isEatenBy						low life span				high tolerance		no			high tolerance	fast				terrestrial plant	low tolerance	medium (normal)		yes	medium (normal)						terrestrial plant					broad		C3 photosynthetic plant		medium (normal)				woody				Life | Cellular | Eukaryota | Archaeplastida | Chloroplastida | Streptophyta | Embryophytes | Tracheophyta | Spermatophytes | Angiosperms | Eudicots | Superasterids | Asterids | Lamiales | Oleaceae | Fraxinus	tolerance			C3 photosynthetic plant	multicellular		0.155543	37.8384	88	fraxinus pennsylvanica	fraxinus pennsylvanica	56036									
fraxinus quadrangulata	76					hostOf				parasitizedBy																	terrestrial plant											terrestrial plant					broad		C3 photosynthetic plant						woody				Life | Cellular | Eukaryota | Archaeplastida | Chloroplastida | Streptophyta | Embryophytes | Tracheophyta | Spermatophytes | Angiosperms | Eudicots | Superasterids | Asterids | Lamiales | Oleaceae | Fraxinus			depend	C3 photosynthetic plant	multicellular		0.155541	37.8434	88	fraxinus quadrangulata	fraxinus quadrangulata	56032									
fraxinus xanthoxyloides	76																										terrestrial plant											terrestrial plant					broad		C3 photosynthetic plant						woody				Life | Cellular | Eukaryota | Archaeplastida | Chloroplastida | Streptophyta | Embryophytes | Tracheophyta | Spermatophytes | Angiosperms | Eudicots | Superasterids | Asterids | Lamiales | Oleaceae | Fraxinus				C3 photosynthetic plant	multicellular		0.155694	37.8589	88	fraxinus xanthoxyloides	fraxinus xanthoxyloides	126421									
galinsoga quadriradiata	76					hostOf	isEatenBy	mutualisticWith			symbiontOf																terrestrial plant											terrestrial plant					broad		C3 photosynthetic plant						herbaceous				Life | Cellular | Eukaryota | Archaeplastida | Chloroplastida | Streptophyta | Embryophytes | Tracheophyta | Spermatophytes | Angiosperms | Eudicots | Superasterids | Asterids | Asterales | Asteraceae | Galinsoga			depend	C3 photosynthetic plant	multicellular		0.151917	37.6554	87	galinsoga quadriradiata	galinsoga quadriradiata	183030									
geum rupestre	76																																																											multicellular		0.155479	36.8108	87	geum rupestre	geum rupestre	148910									
gisekia pharnaceoides	76																										terrestrial plant											terrestrial plant					broad		C4 photosynthetic plant						herbaceous				Life | Cellular | Eukaryota | Archaeplastida | Chloroplastida | Streptophyta | Embryophytes | Tracheophyta | Spermatophytes | Angiosperms | Eudicots | Superasterids | Caryophyllales | Gisekiaceae | Gisekia				C4 photosynthetic plant	multicellular		0.154596	36.7797	85	gisekia pharnaceoides	gisekia pharnaceoides	3530									
glaucidium palmatum	76																																																											multicellular		0.156791	38.4844	85	glaucidium palmatum	glaucidium palmatum	39106									
glehnia littoralis	76						isEatenBy																				terrestrial plant											terrestrial plant					broad		C3 photosynthetic plant						herbaceous				Life | Cellular | Eukaryota | Archaeplastida | Chloroplastida | Streptophyta | Embryophytes | Tracheophyta | Spermatophytes | Angiosperms | Eudicots | Superasterids | Asterids | Apiales | Apiaceae | Glehnia				C3 photosynthetic plant	multicellular		0.147477	37.5103	85	glehnia littoralis	glehnia littoralis	48119									
goodyera fumata	76																			perennial																																			Life | Cellular | Eukaryota | Archaeplastida | Chloroplastida | Streptophyta | Embryophytes | Tracheophyta | Spermatophytes | Angiosperms | Monocots | Asparagales | Orchidaceae | Goodyera					multicellular		0.155643	37.275	87	goodyera fumata	goodyera fumata	1390594									
gordonia brandegeei	76																																																											multicellular		0.157604	37.3905	87	gordonia brandegeei	gordonia brandegeei	182305									
gordonia fruticosa	76																										terrestrial plant											terrestrial plant					broad								woody				Life | Cellular | Eukaryota | Archaeplastida | Chloroplastida | Streptophyta | Embryophytes | Tracheophyta | Spermatophytes | Angiosperms | Eudicots | Superasterids | Asterids | Ericales | Theaceae | Gordonia					multicellular		0.157214	37.2753	87	gordonia fruticosa	gordonia fruticosa	182312									
gordonia lasianthus	76												moderate life span				high tolerance		no			none	slow					none	low tolerance		no	low tolerance											broad				high tolerance				woody				Life | Cellular | Eukaryota | Archaeplastida | Chloroplastida | Streptophyta | Embryophytes | Tracheophyta | Spermatophytes | Angiosperms | Eudicots | Superasterids | Asterids | Ericales | Theaceae | Gordonia	tolerance				multicellular		0.157705	37.3863	87	gordonia lasianthus	gordonia lasianthus	182306									
grammatotheca bergiana	76																													latex																									Life | Cellular | Eukaryota | Archaeplastida | Chloroplastida | Streptophyta | Embryophytes | Tracheophyta | Spermatophytes | Angiosperms | Eudicots | Superasterids | Asterids | Asterales | Campanulaceae | Grammatotheca					multicellular		0.171493	38.3176	93	grammatotheca bergiana	grammatotheca bergiana	105189									
grubbia rosmarinifolia	76																																																											multicellular		0.155612	37.6995	85	grubbia rosmarinifolia	grubbia rosmarinifolia	185766									
grubbia tomentosa	76																																																											multicellular		0.156488	37.7409	85	grubbia tomentosa	grubbia tomentosa	55377									
guizotia abyssinica	76					hostOf				parasitizedBy																	terrestrial plant											terrestrial plant					broad		C3 photosynthetic plant						herbaceous				Life | Cellular | Eukaryota | Archaeplastida | Chloroplastida | Streptophyta | Embryophytes | Tracheophyta | Spermatophytes | Angiosperms | Eudicots | Superasterids | Asterids | Asterales | Asteraceae | Guizotia			depend	C3 photosynthetic plant	multicellular		0.151762	37.6227	85	guizotia abyssinica	guizotia abyssinica	4230									
gynochthodes officinalis	76																																																											multicellular		0.153398	38.0533	91	gynochthodes officinalis	gynochthodes officinalis	266091									
habenaria pantlingiana	76																			perennial																																			Life | Cellular | Eukaryota | Archaeplastida | Chloroplastida | Streptophyta | Embryophytes | Tracheophyta | Spermatophytes | Angiosperms | Monocots | Asparagales | Orchidaceae | Habenaria					multicellular		0.153951	36.5948	87	habenaria pantlingiana	habenaria pantlingiana	1498489									
habenaria radiata	76																																																											multicellular		0.155353	36.5632	86	habenaria radiata	habenaria radiata	342001									
