Scientific.Name	countsMT	countsPT	palm	hasEctoparasite	hasEndoparasite	hostOf	isEatenBy	mutualisticWith	parasiteOf	parasitizedBy	symbiontOf	trophic.guild.x	life.span	ecoregion	photosynthetic.rate	locomotion	shade.tolerance	plant.growth.form	grass.growth.type	life.cycle.habit	Mating.System	calcareous.soil.tolerance	growth.rate	eats	motility	ectoparasite.of	ecomorphological.guild	salt.tolerance	drought.tolerance	tissue.contains	germination.requirements	fire.tolerance	developmental.mode	reproduction	Social.System	basal.metabolic.rate	nitrogen.fixation	plant.lifeform	sexual.system	parasitoid.of	pH	number.of.hosts	leaf.morphology	endoparasite.of	photosynthetic.pathway	propagule	anaerobic.soil.tolerance	trophic.level	sexually.dimorphic	litters.per.year	woodiness	has.host	dispersal.age	trophic.guild.y	Ancestry	toleranceGeneral	aquatics	dependency	advancedPhotPathway	unicellularity	HasMSH1	gsize	GCperc	NCBIcount	name	preferred.name	taxid	isEndoparasite	isEctoparasite	water	migration	thermalBiology	hostAge	waveExposed	habitat	intertidal
schisandra sphenanthera	41	76														sessile		woody									terrestrial plant											terrestrial plant					broad		C3 photosynthetic plant						woody				Life | Cellular | Eukaryota | Archaeplastida | Chloroplastida | Streptophyta | Embryophytes | Tracheophyta | Spermatophytes | Angiosperms | Austrobaileyales | Schisandraceae | Schisandra				C3 photosynthetic plant	multicellular		1.10177	46.3685	43	schisandra sphenanthera	schisandra sphenanthera	13674									
senna occidentalis	33	74					isEatenBy	mutualisticWith			symbiontOf			Caatinga		sessile		woody									terrestrial plant											terrestrial plant					broad		C3 photosynthetic plant						woody				Life | Cellular | Eukaryota | Archaeplastida | Chloroplastida | Streptophyta | Embryophytes | Tracheophyta | Spermatophytes | Angiosperms | Eudicots | Superrosids | Rosids | Fabales | Fabaceae | Senna			depend	C3 photosynthetic plant	multicellular		0.447106	45.4539	34	senna occidentalis	senna occidentalis	126820								marine	
senna tora	32	74						mutualisticWith			symbiontOf																terrestrial plant											terrestrial plant					broad		C3 photosynthetic plant										Life | Cellular | Eukaryota | Opisthokonta | Metazoa | Bilateria | Protostomia | Spiralia | Mollusca | Cephalopoda | Coleoidea | Neocoleoidea | Octopodiformes | Octopoda | Incirrata | Octopodoidea | Octopodidae | Abdopus			depend	C3 photosynthetic plant	multicellular		0.566589	45.2294	36	senna tora	senna tora	362788								marine	
silene latifolia	29	74				hostOf	isEatenBy			parasitizedBy	symbiontOf							herbaceous									terrestrial plant											terrestrial plant					broad		C3 photosynthetic plant						herbaceous				Life | Cellular | Eukaryota | Archaeplastida | Chloroplastida | Streptophyta | Embryophytes | Tracheophyta | Spermatophytes | Angiosperms | Eudicots | Superasterids | Caryophyllales | Caryophyllaceae | Silene			depend	C3 photosynthetic plant	multicellular		0.253413	42.5586	30	silene latifolia	silene latifolia	37657								terrestrial	
sinapis arvensis	32	75				hostOf		mutualisticWith		parasitizedBy																	terrestrial plant											terrestrial plant					broad		C3 photosynthetic plant						herbaceous				Life | Cellular | Eukaryota | Opisthokonta | Metazoa | Bilateria | Protostomia | Spiralia | Mollusca | Cephalopoda | Coleoidea | Neocoleoidea | Decapodiformes | Decapodida | Idiosepiidae | Idiosepius			depend	C3 photosynthetic plant	multicellular		0.240024	45.2271	70	sinapis arvensis	sinapis arvensis	29728								tropical	
solanum lycopersicum	33	76				hostOf				parasitizedBy	symbiontOf						medium (normal)		no			medium (normal)					terrestrial plant	medium (normal)	low tolerance		no	none						terrestrial plant					broad		C3 photosynthetic plant		low tolerance				herbaceous				Life | Cellular | Eukaryota | Archaeplastida | Chloroplastida | Streptophyta | Embryophytes | Tracheophyta | Spermatophytes | Angiosperms | Eudicots | Superasterids | Asterids | Solanales | Solanaceae | Solanum	tolerance		depend	C3 photosynthetic plant	multicellular	MSH1	0.446257	45.0657	39	solanum lycopersicum	solanum lycopersicum	4081								temperate	
solanum pennellii	37	76									symbiontOf																																												Life | Cellular | Eukaryota | Archaeplastida | Chloroplastida | Streptophyta | Embryophytes | Tracheophyta | Spermatophytes | Angiosperms | Eudicots | Superasterids | Asterids | Solanales | Solanaceae | Solanum			depend		multicellular	MSH1	0.423596	44.9884	41	solanum pennellii	solanum pennellii	28526								terrestrial	
sophora flavescens	32						isEatenBy									sessile		woody									terrestrial plant											terrestrial plant					broad		C3 photosynthetic plant						woody				Life | Cellular | Eukaryota | Archaeplastida | Chloroplastida | Streptophyta | Embryophytes | Tracheophyta | Spermatophytes | Angiosperms | Eudicots | Superasterids | Asterids | Lamiales | Lamiaceae | Teucrium				C3 photosynthetic plant	multicellular		0.494369	44.8637	51	sophora flavescens	sophora flavescens	49840								terrestrial	
sorghum bicolor	32	75				hostOf		mutualisticWith		parasitizedBy	symbiontOf						low tolerance	graminoid	no			low tolerance					terrestrial plant	medium (normal)	high tolerance		no	low tolerance						terrestrial plant					broad		C4 photosynthetic plant		none				herbaceous				Life | Cellular | Eukaryota | Archaeplastida | Chloroplastida | Streptophyta | Embryophytes | Tracheophyta | Spermatophytes | Angiosperms | Monocots | Commelinids | Poales | Cyperaceae | Carex	tolerance		depend	C4 photosynthetic plant	multicellular	MSH1	0.468628	43.727	32	sorghum bicolor	sorghum bicolor	4558								lake	
spinacia oleracea	29					hostOf				parasitizedBy	symbiontOf							herbaceous									terrestrial plant											terrestrial plant					broad		C3 photosynthetic plant						herbaceous				Life | Cellular | Eukaryota | Opisthokonta | Metazoa | Bilateria | Deuterostomia | Chordata | Vertebrata | Gnathostomata | Osteichthyes | Sarcopterygii | Tetrapoda | Amniota | Synapsida | Therapsida | Cynodontia | Mammalia | Theria | Eutheria | Placentalia | Boreoeutheria | Laurasiatheria | Scrotifera | Cetartiodactyla | Ruminantia | Cervidae | Cervinae | Rucervus			depend	C3 photosynthetic plant	multicellular	MSH1	0.329613	43.4103	29	spinacia oleracea	spinacia oleracea	3562								tropical	
spirodela polyrhiza	35	75																									aquatic plant											aquatic plant					broad		C3 photosynthetic plant										Life | Cellular | Eukaryota | Archaeplastida | Chloroplastida | Streptophyta | Embryophytes | Tracheophyta | Spermatophytes | Angiosperms | Monocots | Alismatales | Araceae | Spirodela		aquatic		C3 photosynthetic plant	multicellular		0.228493	45.7	35	spirodela polyrhiza	spirodela polyrhiza	29656								tropical	
stratiotes aloides	28																										aquatic plant											aquatic plant					broad		C3 photosynthetic plant						herbaceous				Life | Cellular | Eukaryota | Archaeplastida | Chloroplastida | Streptophyta | Embryophytes | Tracheophyta | Spermatophytes | Angiosperms | Monocots | Alismatales | Hydrocharitaceae | Stratiotes		aquatic		C3 photosynthetic plant	multicellular		0.349058	45.2117	28	stratiotes aloides	stratiotes aloides	55494								pond	
styphnolobium japonicum	32						isEatenBy									sessile		woody									terrestrial plant											terrestrial plant					broad		C3 photosynthetic plant						woody				Life | Cellular | Eukaryota | Archaeplastida | Chloroplastida | Streptophyta | Embryophytes | Tracheophyta | Spermatophytes | Angiosperms | Eudicots | Superasterids | Asterids | Lamiales | Lamiaceae | Teucrium				C3 photosynthetic plant	multicellular		0.484916	45.4458	32	styphnolobium japonicum	styphnolobium japonicum	3897								terrestrial	
tamarindus indica	34	74				hostOf	isEatenBy	mutualisticWith		parasitizedBy	symbiontOf					sessile	low tolerance	woody	no			medium (normal)					terrestrial plant	low tolerance	high tolerance		no	none						terrestrial plant					broad		C3 photosynthetic plant		low tolerance				woody				Life | Cellular | Eukaryota | Archaeplastida | Chloroplastida | Streptophyta | Embryophytes | Tracheophyta | Spermatophytes | Angiosperms | Monocots | Commelinids | Poales | Cyperaceae | Carex	tolerance		depend	C3 photosynthetic plant	multicellular		0.607282	45.3643	37	tamarindus indica	tamarindus indica	58860								lake	
tripsacum dactyloides	31	67				hostOf		mutualisticWith		parasitizedBy	symbiontOf						low tolerance	graminoid	no			none					terrestrial plant	none	low tolerance		yes	high tolerance						terrestrial plant					broad		C4 photosynthetic plant		medium (normal)				herbaceous				Life | Cellular | Eukaryota | Opisthokonta | Metazoa | Bilateria | Deuterostomia | Chordata | Vertebrata | Gnathostomata | Osteichthyes | Sarcopterygii | Tetrapoda | Amniota | Reptilia | Diapsida | Archosauromorpha | Archosauria | Dinosauria | Saurischia | Theropoda | Tetanurae | Coelurosauria | Maniraptoriformes | Maniraptora | Paraves | Aves | Ornithurae | Neornithes | Neognathae | Neoaves | landbirds | Passeriformes | Suboscines | Tyrannidae | Agriornis	tolerance		depend	C4 photosynthetic plant	multicellular		0.7041	43.9252	33	tripsacum dactyloides	tripsacum dactyloides	4563								headwater	
triticum aestivum	33	75				hostOf	isEatenBy	mutualisticWith		parasitizedBy	symbiontOf						high tolerance	graminoid	no			medium (normal)					terrestrial plant	medium (normal)	medium (normal)		no	none						terrestrial plant					broad		C3 photosynthetic plant		none				herbaceous				Life | Cellular | Eukaryota | Archaeplastida | Chloroplastida | Streptophyta | Embryophytes | Tracheophyta | Spermatophytes | Angiosperms | Monocots | Commelinids | Poales | Poaceae | Triticum	tolerance		depend	C3 photosynthetic plant	multicellular	MSH1	0.452526	44.3515	36	triticum aestivum	triticum aestivum	4565								temperate	
triticum timopheevii	33	75																graminoid																																					Life | Cellular | Eukaryota | Archaeplastida | Chloroplastida | Streptophyta | Embryophytes | Tracheophyta | Spermatophytes | Angiosperms | Monocots | Commelinids | Poales | Poaceae					multicellular		0.443419	44.3506	35	triticum timopheevii	triticum timopheevii	4570								temperate	
vaccinium macrocarpon	33	66				hostOf	isEatenBy	mutualisticWith		parasitizedBy						sessile		woody									terrestrial plant											terrestrial plant					broad		C3 photosynthetic plant						woody				Plantae | Charophyta | Equisetopsida | Ericales | Ericaceae | Vaccinium			depend	C3 photosynthetic plant	multicellular		0.459678	45.3346	33	vaccinium macrocarpon	vaccinium macrocarpon	13750								coastal	
vigna angularis	25	71					isEatenBy																				terrestrial plant											terrestrial plant					broad		C3 photosynthetic plant						herbaceous				Life | Cellular | Eukaryota | Archaeplastida | Chloroplastida | Streptophyta | Embryophytes | Tracheophyta | Spermatophytes | Angiosperms | Eudicots | Superrosids | Rosids | Fabales | Fabaceae | Vigna				C3 photosynthetic plant	multicellular	MSH1	0.404466	45.1877	26	vigna angularis	vigna angularis	3914								terrestrial	
vigna radiata	31	72									symbiontOf						low tolerance		no			none					terrestrial plant	low tolerance	none		no	none					medium  N fixation	terrestrial plant					broad		C3 photosynthetic plant		none				herbaceous				Life | Cellular | Eukaryota | Archaeplastida | Chloroplastida | Streptophyta | Embryophytes | Tracheophyta | Spermatophytes | Angiosperms | Eudicots | Superrosids | Rosids | Fabales | Fabaceae | Vigna			depend	C3 photosynthetic plant	multicellular		0.401262	45.1114	32	vigna radiata	vigna radiata	157791								terrestrial	
viscum album	12					hostOf	isEatenBy		parasiteOf	parasitizedBy	symbiontOf					sessile		woody						eats			obligate epiphyte											obligate epiphyte					broad		C3 photosynthetic plant						woody			parasite	Life | Cellular | Eukaryota | Archaeplastida | Chloroplastida | Streptophyta | Embryophytes | Tracheophyta | Spermatophytes | Angiosperms | Eudicots | Superasterids | Santalales | Santalaceae | Viscum			depend	C3 photosynthetic plant	multicellular		0.565432	45.8724	12	viscum album	viscum album	3972								terrestrial	
vitis vinifera	42	76						mutualisticWith								sessile		woody									terrestrial plant											terrestrial plant					broad		C3 photosynthetic plant						woody				Life | Cellular | Eukaryota | Archaeplastida | Chloroplastida | Streptophyta | Embryophytes | Tracheophyta | Spermatophytes | Angiosperms | Eudicots | Superrosids | Rosids | Vitales | Vitaceae | Vitis			depend	C3 photosynthetic plant	multicellular	MSH1	0.773279	44.1446	74	vitis vinifera	vitis vinifera	29760								subtropical	
welwitschia mirabilis	29	62						mutualisticWith								sessile		woody									terrestrial plant											terrestrial plant					broad		CAM photosynthetic plant						woody				Life | Cellular | Eukaryota | Archaeplastida | Chloroplastida | Streptophyta | Embryophytes | Tracheophyta | Spermatophytes | Angiosperms | Eudicots | Superrosids | Rosids | Geraniales | Geraniaceae | Erodium			depend	CAM photosynthetic plant	multicellular		0.978846	53.021	29	welwitschia mirabilis	welwitschia mirabilis	3377								tropical	
zea luxurians	32	75																graminoid																																					Life | Cellular | Eukaryota | Archaeplastida | Chloroplastida | Streptophyta | Embryophytes | Tracheophyta | Spermatophytes | Angiosperms | Monocots | Commelinids | Poales | Poaceae | Zea					multicellular		0.539368	43.9336	32	zea luxurians	zea luxurians	15945								terrestrial	
zea perennis	31	75																graminoid																																					Life | Cellular | Eukaryota | Archaeplastida | Chloroplastida | Streptophyta | Embryophytes | Tracheophyta | Spermatophytes | Angiosperms | Monocots | Commelinids | Poales | Poaceae | Zea					multicellular		0.570354	43.8849	32	zea perennis	zea perennis	4580								tropical	
ziziphus jujuba	35	75				hostOf		mutualisticWith		parasitizedBy	symbiontOf					sessile		woody									terrestrial plant											terrestrial plant					broad		C3 photosynthetic plant						woody				Life | Cellular | Eukaryota | Archaeplastida | Chloroplastida | Streptophyta | Embryophytes | Tracheophyta | Spermatophytes | Angiosperms | Eudicots | Superrosids | Rosids | Rosales | Rhamnaceae | Ziziphus			depend	C3 photosynthetic plant	multicellular	MSH1	0.36519	45.2742	35	ziziphus jujuba	ziziphus jujuba	326968								desert	
zostera marina	25	69									symbiontOf																aquatic plant											aquatic plant					broad		C3 photosynthetic plant						herbaceous				Life | Cellular | Eukaryota | Archaeplastida | Chloroplastida | Streptophyta | Embryophytes | Tracheophyta | Spermatophytes | Angiosperms | Monocots | Commelinids | Poales | Cyperaceae | Carex		aquatic	depend	C3 photosynthetic plant	multicellular	MSH1	0.191481	45.1444	25	zostera marina	zostera marina	29655								lake	intertidal
