Scientific.Name	countsMT	countsPT	palm	hasEctoparasite	hasEndoparasite	hostOf	isEatenBy	mutualisticWith	parasiteOf	parasitizedBy	symbiontOf	trophic.guild.x	life.span	ecoregion	photosynthetic.rate	locomotion	shade.tolerance	plant.growth.form	grass.growth.type	life.cycle.habit	Mating.System	calcareous.soil.tolerance	growth.rate	eats	motility	ectoparasite.of	ecomorphological.guild	salt.tolerance	drought.tolerance	tissue.contains	germination.requirements	fire.tolerance	developmental.mode	reproduction	Social.System	basal.metabolic.rate	nitrogen.fixation	plant.lifeform	sexual.system	parasitoid.of	pH	number.of.hosts	leaf.morphology	endoparasite.of	photosynthetic.pathway	propagule	anaerobic.soil.tolerance	trophic.level	sexually.dimorphic	litters.per.year	woodiness	has.host	dispersal.age	trophic.guild.y	Ancestry	toleranceGeneral	aquatics	dependency	advancedPhotPathway	unicellularity	HasMSH1	gsize	GCperc	NCBIcount	name	preferred.name	taxid	isEndoparasite	isEctoparasite	water	migration	thermalBiology	hostAge	waveExposed	habitat	intertidal
liriodendron tulipifera	41	75														sessile	low tolerance	woody	no			low tolerance					terrestrial plant	low tolerance	low tolerance		yes	medium (normal)						terrestrial plant					broad		C3 photosynthetic plant		none				woody				Life | Cellular | Eukaryota | Archaeplastida | Chloroplastida | Streptophyta | Embryophytes | Tracheophyta | Spermatophytes | Angiosperms | Magnoliids | Magnoliales | Magnoliaceae | Liriodendron	tolerance			C3 photosynthetic plant	multicellular	MSH1	0.553721	47.7038	42	liriodendron tulipifera	liriodendron tulipifera	3415								mountain	
lotus japonicus	31	74																																											C3 photosynthetic plant										Life | Cellular | Eukaryota | Archaeplastida | Chloroplastida | Streptophyta | Embryophytes | Tracheophyta | Spermatophytes | Angiosperms | Eudicots | Superasterids | Asterids | Lamiales | Plantaginaceae | Penstemon				C3 photosynthetic plant	multicellular		0.380861	45.395	34	lotus japonicus	lotus japonicus	34305								juniper woodland	
manihot esculenta	32	75				hostOf		mutualisticWith		parasitizedBy	symbiontOf			Restinga		sessile	low tolerance	woody	no			medium (normal)					terrestrial plant	low tolerance	low tolerance		no	none						terrestrial plant					broad		C3 photosynthetic plant		low tolerance				woody				Life | Cellular | Eukaryota | Opisthokonta | Metazoa | Bilateria | Deuterostomia | Chordata | Vertebrata | Gnathostomata | Osteichthyes | Sarcopterygii | Tetrapoda | Amniota | Synapsida | Therapsida | Cynodontia | Mammalia | Theria | Eutheria | Placentalia | Boreoeutheria | Laurasiatheria | Scrotifera | Cetartiodactyla | Ruminantia | Cervidae | Cervinae | Rucervus	tolerance		depend	C3 photosynthetic plant	multicellular	MSH1	0.68284	44.4697	32	manihot esculenta	manihot esculenta	3983								tropical	
medicago truncatula	31	73				hostOf					symbiontOf																terrestrial plant											terrestrial plant					broad		C3 photosynthetic plant						herbaceous				Life | Cellular | Eukaryota | Archaeplastida | Chloroplastida | Streptophyta | Embryophytes | Tracheophyta | Spermatophytes | Angiosperms | Eudicots | Superrosids | Rosids | Fabales | Fabaceae | Medicago			depend	C3 photosynthetic plant	multicellular	MSH1	0.271618	45.3895	31	medicago truncatula	medicago truncatula	3880								terrestrial	
morus notabilis	26	75														sessile		woody																																	woody				Life | Cellular | Eukaryota | Archaeplastida | Chloroplastida | Streptophyta | Embryophytes | Tracheophyta | Spermatophytes | Angiosperms | Eudicots | Superrosids | Rosids | Rosales | Moraceae | Morus					multicellular	MSH1	0.362069	45.6587	26	morus notabilis	morus notabilis	981085								terrestrial	
nelumbo nucifera	40	75									symbiontOf																terrestrial plant											terrestrial plant					broad		C3 photosynthetic plant						herbaceous				Life | Cellular | Eukaryota | Archaeplastida | Chloroplastida | Streptophyta | Embryophytes | Tracheophyta | Spermatophytes | Angiosperms | Eudicots | Proteales | Nelumbonaceae | Nelumbo			depend	C3 photosynthetic plant	multicellular	MSH1	0.524797	48.1554	44	nelumbo nucifera	nelumbo nucifera	4432								dry lake	
nepenthes ventricosa x nepenthes alata	37																																																						Life | Cellular | Eukaryota | Archaeplastida | Chloroplastida | Streptophyta | Embryophytes | Tracheophyta | Spermatophytes | Angiosperms | Eudicots | Superasterids | Caryophyllales | Nepenthaceae							0.520764	44.1738	37	nepenthes ventricosa x nepenthes alata	nepenthes ventricosa x nepenthes alata	1744888								tropical	
nicotiana attenuata	38	75					isEatenBy																																				broad		C3 photosynthetic plant						herbaceous				Life | Cellular | Eukaryota | Archaeplastida | Chloroplastida | Streptophyta | Embryophytes | Tracheophyta | Spermatophytes | Angiosperms | Eudicots | Superasterids | Asterids | Solanales | Solanaceae | Nicotiana				C3 photosynthetic plant	multicellular	MSH1	0.394341	45.0498	40	nicotiana attenuata	nicotiana attenuata	49451								desert	
nicotiana sylvestris	32					hostOf	isEatenBy				symbiontOf																terrestrial plant											terrestrial plant							C3 photosynthetic plant						herbaceous				Life | Cellular | Eukaryota | Archaeplastida | Chloroplastida | Streptophyta | Embryophytes | Tracheophyta | Spermatophytes | Angiosperms | Eudicots | Superrosids | Rosids | Geraniales | Geraniaceae | Monsonia			depend	C3 photosynthetic plant	multicellular	MSH1	0	0	0	nicotiana sylvestris	nicotiana sylvestris	4096								terrestrial	
nicotiana tabacum	38										symbiontOf																terrestrial plant											terrestrial plant					broad		C3 photosynthetic plant						herbaceous				Life | Cellular | Eukaryota | Opisthokonta | Metazoa | Bilateria | Deuterostomia | Chordata | Vertebrata | Gnathostomata | Osteichthyes | Actinopterygii | Neopterygii | Teleostei | Elopomorpha | Anguilliformes | Ophichthidae | Ophichthus			depend	C3 photosynthetic plant	multicellular	MSH1	0.430597	44.9587	156	nicotiana tabacum	nicotiana tabacum	4097								sandy soil	
