Scientific.Name	countsPT	countsMT	palm	hasEctoparasite	hasEndoparasite	hostOf	isEatenBy	mutualisticWith	parasiteOf	parasitizedBy	symbiontOf	trophic.guild.x	life.span	ecoregion	photosynthetic.rate	locomotion	shade.tolerance	plant.growth.form	grass.growth.type	life.cycle.habit	Mating.System	calcareous.soil.tolerance	growth.rate	eats	motility	ectoparasite.of	ecomorphological.guild	salt.tolerance	drought.tolerance	tissue.contains	germination.requirements	fire.tolerance	developmental.mode	reproduction	Social.System	basal.metabolic.rate	nitrogen.fixation	plant.lifeform	sexual.system	parasitoid.of	pH	number.of.hosts	leaf.morphology	endoparasite.of	photosynthetic.pathway	propagule	anaerobic.soil.tolerance	trophic.level	sexually.dimorphic	litters.per.year	woodiness	has.host	dispersal.age	trophic.guild.y	Ancestry	toleranceGeneral	aquatics	dependency	advancedPhotPathway	unicellularity	HasMSH1	gsize	GCperc	NCBIcount	name	preferred.name	taxid	isEndoparasite	isEctoparasite	water	migration	thermalBiology	hostAge	waveExposed	habitat	intertidal
jasminum fluminense	75																										terrestrial plant											terrestrial plant					broad		C3 photosynthetic plant						woody				Life | Cellular | Eukaryota | Archaeplastida | Chloroplastida | Streptophyta | Embryophytes | Tracheophyta | Spermatophytes | Angiosperms | Eudicots | Superasterids | Asterids | Lamiales | Oleaceae | Jasminum				C3 photosynthetic plant	multicellular		0.160789	37.5971	87	jasminum fluminense	jasminum fluminense	84810									
eutrema salsugineum	75																																																						Unknown					multicellular	MSH1	0.153407	36.336	87	eutrema salsugineum	eutrema salsugineum	72664									
ardisia polysticta	76																																										broad								woody				Life | Cellular | Eukaryota | Archaeplastida | Chloroplastida | Streptophyta | Embryophytes | Tracheophyta | Spermatophytes | Angiosperms | Eudicots | Superasterids | Asterids | Ericales | Primulaceae | Ardisia					multicellular		0.156506	37.0701	87	ardisia polysticta	ardisia polysticta	1265925									
solanum acroglossum	74																																																						Life | Cellular | Eukaryota | Archaeplastida | Chloroplastida | Streptophyta | Embryophytes | Tracheophyta | Spermatophytes | Angiosperms | Eudicots | Superasterids | Asterids | Solanales | Solanaceae | Tsoala					multicellular		0.15527	37.8676	85	solanum acroglossum	solanum acroglossum	856881								terrestrial	
holcoglossum wangii	65																			perennial							epiphyte											epiphyte																	Life | Cellular | Eukaryota | Archaeplastida | Chloroplastida | Streptophyta | Embryophytes | Tracheophyta | Spermatophytes | Angiosperms | Monocots | Asparagales | Orchidaceae | Holcoglossum					multicellular		0.14717	36.7446	74	holcoglossum wangii	holcoglossum wangii	536162									
vachellia seyal	73						isEatenBy				symbiontOf																terrestrial plant											terrestrial plant					broad		C3 photosynthetic plant						woody				Life | Cellular | Eukaryota | Archaeplastida | Chloroplastida | Streptophyta | Embryophytes | Tracheophyta | Spermatophytes | Angiosperms | Eudicots | Superrosids | Rosids | Fabales | Fabaceae | Vachellia			depend	C3 photosynthetic plant	multicellular		0.165383	35.3404	82	vachellia seyal	vachellia seyal	138044								desert oasis	
scrophularia dentata	76																																																		herbaceous				Life | Cellular | Eukaryota | Archaeplastida | Chloroplastida | Streptophyta | Embryophytes | Tracheophyta | Spermatophytes | Angiosperms | Eudicots | Superasterids | Asterids | Lamiales | Scrophulariaceae | Scrophularia					multicellular		0.1526	37.9613	87	scrophularia dentata	scrophularia dentata	1684752									
cornus canadensis	75					hostOf				parasitizedBy			high life span				high tolerance		no			low tolerance	slow				terrestrial plant	none	low tolerance		yes	high tolerance						terrestrial plant					broad		C3 photosynthetic plant		none				herbaceous				Life | Cellular | Eukaryota | Archaeplastida | Chloroplastida | Streptophyta | Embryophytes | Tracheophyta | Spermatophytes | Angiosperms | Eudicots | Superasterids | Asterids | Cornales | Cornaceae | Cornus	tolerance		depend	C3 photosynthetic plant	multicellular		0.157153	37.8097	84	cornus canadensis	cornus canadensis	4282									
citrus aurantiifolia	75					hostOf	isEatenBy	mutualisticWith		parasitizedBy								woody									terrestrial plant											terrestrial plant					broad		C3 photosynthetic plant						woody				Life | Cellular | Eukaryota | Archaeplastida | Chloroplastida | Streptophyta | Embryophytes | Tracheophyta | Spermatophytes | Angiosperms | Eudicots | Superrosids | Rosids | Sapindales | Rutaceae | Citrus			depend	C3 photosynthetic plant	multicellular		0.159893	38.4395	93	citrus aurantiifolia	citrus aurantiifolia	159033									
passiflora oerstedii	71						isEatenBy							Cerrado																																									Life | Cellular | Eukaryota | Archaeplastida | Chloroplastida | Streptophyta | Embryophytes | Tracheophyta | Spermatophytes | Angiosperms | Eudicots | Superrosids | Rosids | Myrtales | Melastomataceae | Ossaea					multicellular		0.147073	37.0557	77	passiflora oerstedii	passiflora oerstedii	196582								tropical humid forests	
