Scientific.Name	countsPT	countsMT	palm	hasEctoparasite	hasEndoparasite	hostOf	isEatenBy	mutualisticWith	parasiteOf	parasitizedBy	symbiontOf	trophic.guild.x	life.span	ecoregion	photosynthetic.rate	locomotion	shade.tolerance	plant.growth.form	grass.growth.type	life.cycle.habit	Mating.System	calcareous.soil.tolerance	growth.rate	eats	motility	ectoparasite.of	ecomorphological.guild	salt.tolerance	drought.tolerance	tissue.contains	germination.requirements	fire.tolerance	developmental.mode	reproduction	Social.System	basal.metabolic.rate	nitrogen.fixation	plant.lifeform	sexual.system	parasitoid.of	pH	number.of.hosts	leaf.morphology	endoparasite.of	photosynthetic.pathway	propagule	anaerobic.soil.tolerance	trophic.level	sexually.dimorphic	litters.per.year	woodiness	has.host	dispersal.age	trophic.guild.y	Ancestry	toleranceGeneral	aquatics	dependency	advancedPhotPathway	unicellularity	HasMSH1	gsize	GCperc	NCBIcount	name	preferred.name	taxid	isEndoparasite	isEctoparasite	water	migration	thermalBiology	hostAge	waveExposed	habitat	intertidal
salacca ramosiana	76		palm															woody																																					Life | Cellular | Eukaryota | Archaeplastida | Chloroplastida | Streptophyta | Embryophytes | Tracheophyta | Spermatophytes | Angiosperms | Monocots | Commelinids | Arecales | Arecaceae | Salacca					multicellular		0.157047	37.3863	86	salacca ramosiana	salacca ramosiana	93318									
pentadiplandra brazzeana	75																																																						Life | Cellular | Eukaryota | Archaeplastida | Chloroplastida | Streptophyta | Embryophytes | Tracheophyta | Spermatophytes | Angiosperms | Eudicots | Superrosids | Rosids | Brassicales | Pentadiplandraceae | Pentadiplandra					multicellular		0.156625	36.3486	85	pentadiplandra brazzeana	pentadiplandra brazzeana	43545								tropical	
diplostephium serratifolium	76																																																											multicellular		0.15206	37.3885	85	diplostephium serratifolium	diplostephium serratifolium	1716034									
brighamia insignis	75																										terrestrial plant			latex								terrestrial plant					broad		C3 photosynthetic plant						woody				Life | Cellular | Eukaryota | Archaeplastida | Chloroplastida | Streptophyta | Embryophytes | Tracheophyta | Spermatophytes | Angiosperms | Eudicots | Superasterids | Asterids | Asterales | Campanulaceae | Brighamia				C3 photosynthetic plant	multicellular		0.164166	39.175	90	brighamia insignis	brighamia insignis	76571									
berberis koreana	73					hostOf				parasitizedBy								shrub																									broad		C3 photosynthetic plant						woody				Life | Cellular | Eukaryota | Archaeplastida | Chloroplastida | Streptophyta | Embryophytes | Tracheophyta | Spermatophytes | Angiosperms | Eudicots | Ranunculales | Berberidaceae | Berberis				C3 photosynthetic plant	multicellular		0.166758	38.0372	94	berberis koreana	berberis koreana	211974									
eriachne major	75																	graminoid																																					Life | Cellular | Eukaryota | Archaeplastida | Chloroplastida | Streptophyta | Embryophytes | Tracheophyta | Spermatophytes | Angiosperms | Monocots | Commelinids | Poales | Poaceae | Eriachne					multicellular		0.134748	38.6655	83	eriachne major	eriachne major	2546641									
jasminum tortuosum	73																																																											multicellular		0.16208	37.5506	83	jasminum tortuosum	jasminum tortuosum	1548298									
panicum capillare	75							mutualisticWith			symbiontOf							graminoid									terrestrial plant											terrestrial plant					broad		C4 photosynthetic plant						herbaceous				Life | Cellular | Eukaryota | Archaeplastida | Chloroplastida | Streptophyta | Embryophytes | Tracheophyta | Spermatophytes | Angiosperms | Eudicots | Superrosids | Rosids | Brassicales | Brassicaceae | Physaria			depend	C4 photosynthetic plant	multicellular		0.13452	38.5088	83	panicum capillare	panicum capillare	33109								terrestrial	
photinia sorbifolia	73																																																											multicellular		0.160371	36.4935	83	photinia sorbifolia	photinia sorbifolia	664754									
artemisia montana	76							mutualisticWith																			terrestrial plant											terrestrial plant					broad								herbaceous				Life | Cellular | Eukaryota | Archaeplastida | Chloroplastida | Streptophyta | Embryophytes | Tracheophyta | Spermatophytes | Angiosperms | Eudicots | Superasterids | Asterids | Asterales | Asteraceae | Artemisia			depend		multicellular		0.15113	37.477	86	artemisia montana	artemisia montana	669134									
hemerocallis fulva	76																			perennial							terrestrial plant											terrestrial plant					broad		C3 photosynthetic plant						herbaceous				Life | Cellular | Eukaryota | Archaeplastida | Chloroplastida | Streptophyta | Embryophytes | Tracheophyta | Spermatophytes | Angiosperms | Monocots | Asparagales | Asphodelaceae | Hemerocallis | Hemerocallis fulva				C3 photosynthetic plant	multicellular		0.155855	37.377	87	hemerocallis fulva	hemerocallis fulva	34190									
salix purpurea	73	32						mutualisticWith																			terrestrial plant											terrestrial plant					broad		C3 photosynthetic plant						woody				Life | Cellular | Eukaryota | Archaeplastida | Chloroplastida | Streptophyta | Embryophytes | Tracheophyta | Spermatophytes | Angiosperms | Eudicots | Superrosids | Rosids | Rosales | Rhamnaceae | Rhamnus			depend	C3 photosynthetic plant	multicellular		0.15559	36.6855	83	salix purpurea	salix purpurea	77065								terrestrial	
fritillaria verticillata	75																	herbaceous		perennial																																			Life | Cellular | Eukaryota | Archaeplastida | Chloroplastida | Streptophyta | Embryophytes | Tracheophyta | Spermatophytes | Angiosperms | Monocots | Liliales | Liliaceae | Fritillaria					multicellular		0.151959	36.9521	83	fritillaria verticillata	fritillaria verticillata	1352234									
magnolia kobus	75																										terrestrial plant											terrestrial plant					broad		C3 photosynthetic plant						woody				Life | Cellular | Eukaryota | Archaeplastida | Chloroplastida | Streptophyta | Embryophytes | Tracheophyta | Spermatophytes | Angiosperms | Magnoliids | Magnoliales | Magnoliaceae | Magnolia				C3 photosynthetic plant	multicellular		0.159443	39.273	86	magnolia kobus	magnolia kobus	54732									
acorus calamus	75					hostOf	isEatenBy	mutualisticWith		parasitizedBy	symbiontOf		moderate life span				low tolerance		no			low tolerance	moderate				terrestrial plant	low tolerance	none		no	none						terrestrial plant					broad		C3 photosynthetic plant		high tolerance				herbaceous				Life | Cellular | Eukaryota | Archaeplastida | Chloroplastida | Streptophyta | Embryophytes | Tracheophyta | Spermatophytes | Angiosperms | Monocots | Acorales | Acoraceae | Acorus	tolerance		depend	C3 photosynthetic plant	multicellular	MSH1	0.153821	38.5988	84	acorus calamus	acorus calamus	4465									
epimedium ilicifolium	75																																																											multicellular		0.156855	38.7747	83	epimedium ilicifolium	epimedium ilicifolium	589471									
medicago papillosa	73																																										broad		C3 photosynthetic plant						herbaceous				Life | Cellular | Eukaryota | Archaeplastida | Chloroplastida | Streptophyta | Embryophytes | Tracheophyta | Spermatophytes | Angiosperms | Eudicots | Superrosids | Rosids | Fabales | Fabaceae | Medicago				C3 photosynthetic plant	multicellular		0.125203	33.8307	75	medicago papillosa	medicago papillosa	70964									
passiflora biflora	69					hostOf	isEatenBy			parasitizedBy																	terrestrial plant											terrestrial plant					broad												Life | Cellular | Eukaryota | Archaeplastida | Chloroplastida | Streptophyta | Embryophytes | Tracheophyta | Spermatophytes | Angiosperms | Eudicots | Superrosids | Rosids | Brassicales | Brassicaceae | Physaria			depend		multicellular		0.139263	37.1283	81	passiflora biflora	passiflora biflora	196578								terrestrial	
apterosperma oblata	76																																										broad								woody				Life | Cellular | Eukaryota | Archaeplastida | Chloroplastida | Streptophyta | Embryophytes | Tracheophyta | Spermatophytes | Angiosperms | Eudicots | Superasterids | Asterids | Ericales | Theaceae | Apterosperma					multicellular		0.15659	37.3204	87	apterosperma oblata	apterosperma oblata	182296									
littledalea przevalskyi	75																	graminoid																																					Life | Cellular | Eukaryota | Archaeplastida | Chloroplastida | Streptophyta | Embryophytes | Tracheophyta | Spermatophytes | Angiosperms | Monocots | Commelinids | Poales | Poaceae | Littledalea					multicellular		0.136862	38.5096	84	littledalea przevalskyi	littledalea przevalskyi	2138388									
lespedeza davurica	73																										terrestrial plant											terrestrial plant					broad		C3 photosynthetic plant										Life | Cellular | Eukaryota | Archaeplastida | Chloroplastida | Streptophyta | Embryophytes | Tracheophyta | Spermatophytes | Angiosperms | Eudicots | Superrosids | Rosids | Fabales | Fabaceae | Lespedeza				C3 photosynthetic plant	multicellular		0.147151	34.6834	82	lespedeza davurica	lespedeza davurica	688281									
burmeistera pirrensis	75																													latex																									Life | Cellular | Eukaryota | Archaeplastida | Chloroplastida | Streptophyta | Embryophytes | Tracheophyta | Spermatophytes | Angiosperms | Eudicots | Superasterids | Asterids | Asterales | Campanulaceae | Burmeistera					multicellular		0.165353	39.2282	87	burmeistera pirrensis	burmeistera pirrensis	1899344									
crinipes abyssinicus	75																	graminoid																																					Life | Cellular | Eukaryota | Archaeplastida | Chloroplastida | Streptophyta | Embryophytes | Tracheophyta | Spermatophytes | Angiosperms | Monocots | Commelinids | Poales | Poaceae | Crinipes					multicellular		0.137909	38.6436	83	crinipes abyssinicus	crinipes abyssinicus	2017770									
hypolytrum nemorum	73																	graminoid									terrestrial plant											terrestrial plant					broad		C3 photosynthetic plant						herbaceous				Life | Cellular | Eukaryota | Archaeplastida | Chloroplastida | Streptophyta | Embryophytes | Tracheophyta | Spermatophytes | Angiosperms | Monocots | Commelinids | Poales | Cyperaceae | Hypolytrum | Hypolytrum nemorum				C3 photosynthetic plant	multicellular		0.180648	34.9182	89	hypolytrum nemorum	hypolytrum nemorum	76453									
aralia cordata	76						isEatenBy	mutualisticWith																																					C3 photosynthetic plant										Life | Cellular | Eukaryota | Archaeplastida | Chloroplastida | Streptophyta | Embryophytes | Tracheophyta | Spermatophytes | Angiosperms | Eudicots | Superasterids | Asterids | Apiales | Araliaceae | Aralia			depend	C3 photosynthetic plant	multicellular		0.156087	38.1319	88	aralia cordata	aralia cordata	29746									
cyphia crenata	74																													latex																									Life | Cellular | Eukaryota | Archaeplastida | Chloroplastida | Streptophyta | Embryophytes | Tracheophyta | Spermatophytes | Angiosperms | Eudicots | Superasterids | Asterids | Asterales | Campanulaceae | Cyphia					multicellular		0.178956	36.7856	99	cyphia crenata	cyphia crenata	2041116									
pentalinon luteum	75							mutualisticWith																			terrestrial plant											terrestrial plant					broad								woody				Life | Cellular | Eukaryota | Archaeplastida | Chloroplastida | Streptophyta | Embryophytes | Tracheophyta | Spermatophytes | Angiosperms | Eudicots | Superasterids | Asterids | Gentianales | Apocynaceae | Pentalinon			depend		multicellular		0.154053	38.3056	84	pentalinon luteum	pentalinon luteum	141598								terrestrial	
populus balsamifera	73					hostOf	isEatenBy			parasitizedBy	symbiontOf		moderate life span				low tolerance	tree	no			high tolerance	fast				terrestrial plant	none	low tolerance		no	high tolerance						terrestrial plant					broad		C3 photosynthetic plant		medium (normal)				woody				Life | Cellular | Eukaryota | Archaeplastida | Chloroplastida | Streptophyta | Embryophytes | Tracheophyta | Spermatophytes | Angiosperms | Eudicots | Superrosids | Rosids | Geraniales | Geraniaceae | Erodium	tolerance		depend	C3 photosynthetic plant	multicellular		0.157094	36.6519	81	populus balsamifera	populus balsamifera	73824								tropical	
pachyrhizus erosus	74						isEatenBy																				terrestrial plant											terrestrial plant					broad		C3 photosynthetic plant						herbaceous				Life | Cellular | Eukaryota | Archaeplastida | Chloroplastida | Streptophyta | Embryophytes | Tracheophyta | Spermatophytes | Angiosperms | Eudicots | Superrosids | Rosids | Fabales | Fabaceae | Pachyrhizus				C3 photosynthetic plant	multicellular		0.151947	35.257	83	pachyrhizus erosus	pachyrhizus erosus	109171								subtropical	
lobelia boninensis	75																										terrestrial plant			latex								terrestrial plant					broad		C3 photosynthetic plant										Life | Cellular | Eukaryota | Archaeplastida | Chloroplastida | Streptophyta | Embryophytes | Tracheophyta | Spermatophytes | Angiosperms | Eudicots | Superasterids | Asterids | Asterales | Campanulaceae | Lobelia				C3 photosynthetic plant	multicellular		0.162436	39.2087	89	lobelia boninensis	lobelia boninensis	76577									
ananas comosus	76						isEatenBy	mutualisticWith					moderate life span	Cerrado			high tolerance	graminoid	no	perennial			slow				non-woody epiphyte	medium (normal)	medium (normal)		no	low tolerance						non-woody epiphyte					broad		CAM photosynthetic plant		low tolerance				herbaceous				Life | Cellular | Eukaryota | Archaeplastida | Chloroplastida | Streptophyta | Embryophytes | Tracheophyta | Spermatophytes | Angiosperms | Monocots | Commelinids | Poales | Bromeliaceae | Ananas	tolerance		depend	CAM photosynthetic plant	multicellular	MSH1	0.159636	37.3731	86	ananas comosus	ananas comosus	4615									
enneapogon oblongus	75																																												C4 photosynthetic plant										Unknown				C4 photosynthetic plant	multicellular		0.133433	38.3353	85	enneapogon oblongus	enneapogon oblongus	1985980									
clematis loureiroana	76																																																											multicellular		0.159624	37.8753	92	clematis loureiroana	clematis loureiroana	748702									
dysosma majoensis	75																																																											multicellular		0.156482	38.4632	83	dysosma majoensis	dysosma majoensis	153728									
naravelia pilulifera	76																																																											multicellular		0.159513	37.9292	91	naravelia pilulifera	naravelia pilulifera	2011089									
hordeum bogdanii	75																	graminoid																											C3 photosynthetic plant										Life | Cellular | Eukaryota | Archaeplastida | Chloroplastida | Streptophyta | Embryophytes | Tracheophyta | Spermatophytes | Angiosperms | Monocots | Commelinids | Poales | Poaceae | Hordeum				C3 photosynthetic plant	multicellular		0.136968	38.2403	83	hordeum bogdanii	hordeum bogdanii	4515									
chasechloa madagascariensis	74																	graminoid																																					Life | Cellular | Eukaryota | Archaeplastida | Chloroplastida | Streptophyta | Embryophytes | Tracheophyta | Spermatophytes | Angiosperms | Monocots | Commelinids | Poales | Poaceae | Chasechloa					multicellular		0.137987	38.6189	81	chasechloa madagascariensis	chasechloa madagascariensis	1859061									
saussurea obvallata	76																	forb		perennial																																			Life | Cellular | Eukaryota | Opisthokonta | Metazoa | Bilateria | Deuterostomia | Chordata | Vertebrata | Gnathostomata | Osteichthyes | Sarcopterygii | Tetrapoda | Amniota | Reptilia | Diapsida | Archosauromorpha | Archosauria | Dinosauria | Saurischia | Theropoda | Tetanurae | Coelurosauria | Maniraptoriformes | Maniraptora | Paraves | Aves | Ornithurae | Neornithes | Neognathae | Neoaves | landbirds | Passeriformes | Oscines | Passeroidea | Thraupidae | Thlypopsis					multicellular		0.15254	37.6891	87	saussurea obvallata	saussurea obvallata	238948								coastal	
habenaria radiata	76																																																											multicellular		0.155353	36.5632	86	habenaria radiata	habenaria radiata	342001									
solanum canasense	74																																												C3 photosynthetic plant										Life | Cellular | Eukaryota | Archaeplastida | Chloroplastida | Streptophyta | Embryophytes | Tracheophyta | Spermatophytes | Angiosperms | Eudicots | Superasterids | Asterids | Solanales | Solanaceae				C3 photosynthetic plant	multicellular		0.155506	37.8493	85	solanum canasense	solanum canasense	2082851								prairie	
anemopaegma oligoneuron	76																	woody																											C3 photosynthetic plant										Life | Cellular | Eukaryota | Archaeplastida | Chloroplastida | Streptophyta | Embryophytes | Tracheophyta | Spermatophytes | Angiosperms | Eudicots | Superasterids | Asterids | Lamiales | Bignoniaceae | Anemopaegma				C3 photosynthetic plant	multicellular		0.167621	37.7113	98	anemopaegma oligoneuron	anemopaegma oligoneuron	353931									
alloeochaete oreogena	75																	graminoid									terrestrial plant											terrestrial plant					broad								herbaceous				Life | Cellular | Eukaryota | Archaeplastida | Chloroplastida | Streptophyta | Embryophytes | Tracheophyta | Spermatophytes | Angiosperms | Monocots | Commelinids | Poales | Poaceae | Alloeochaete					multicellular		0.136079	38.6401	83	alloeochaete oreogena	alloeochaete oreogena	2017768									
chionanthus quadristamineus	76																																																											multicellular		0.155618	37.8176	88	chionanthus quadristamineus	chionanthus quadristamineus	1296274									
ziziphus jujuba	75	35				hostOf		mutualisticWith		parasitizedBy	symbiontOf																terrestrial plant											terrestrial plant					broad		C3 photosynthetic plant						woody				Life | Cellular | Eukaryota | Archaeplastida | Chloroplastida | Streptophyta | Embryophytes | Tracheophyta | Spermatophytes | Angiosperms | Eudicots | Superrosids | Rosids | Rosales | Rhamnaceae | Ziziphus			depend	C3 photosynthetic plant	multicellular	MSH1	0.161466	36.7855	85	ziziphus jujuba	ziziphus jujuba	326968								desert	
clematis terniflora	74							mutualisticWith																			terrestrial plant											terrestrial plant					broad		C3 photosynthetic plant						woody				Life | Cellular | Eukaryota | Archaeplastida | Chloroplastida | Streptophyta | Embryophytes | Tracheophyta | Spermatophytes | Angiosperms | Eudicots | Ranunculales | Ranunculaceae | Clematis			depend	C3 photosynthetic plant	multicellular		0.159528	37.9965	90	clematis terniflora	clematis terniflora	231663									
populus pruinosa	70						isEatenBy	mutualisticWith			symbiontOf							tree																									broad		C3 photosynthetic plant						woody				Life | Cellular | Eukaryota | Opisthokonta | Metazoa | Bilateria | Deuterostomia | Chordata | Vertebrata | Gnathostomata | Osteichthyes | Sarcopterygii | Tetrapoda | Amniota | Reptilia | Diapsida | Archosauromorpha | Archosauria | Dinosauria | Saurischia | Theropoda | Tetanurae | Coelurosauria | Maniraptoriformes | Maniraptora | Paraves | Aves | Ornithurae | Neornithes | Neognathae | Neoaves | landbirds | Accipitriformes | Accipitridae | Circus			depend	C3 photosynthetic plant	multicellular		0.158551	36.5939	79	populus pruinosa	populus pruinosa	492479								terrestrial	
cenchrus ciliaris	74					hostOf		mutualisticWith		parasitizedBy	symbiontOf		high life span	Caatinga			low tolerance	graminoid	no			medium (normal)	fast				terrestrial plant	medium (normal)	high tolerance		no	medium (normal)						terrestrial plant					broad		C4 photosynthetic plant		low tolerance				herbaceous				Life | Cellular | Eukaryota | Archaeplastida | Chloroplastida | Streptophyta | Embryophytes | Tracheophyta | Spermatophytes | Angiosperms | Monocots | Commelinids | Poales | Poaceae | Cenchrus	tolerance		depend	C4 photosynthetic plant	multicellular		0.138737	38.609	86	cenchrus ciliaris	cenchrus ciliaris	35872									
colpothrinax cookii	76		palm															woody																																					Life | Cellular | Eukaryota | Archaeplastida | Chloroplastida | Streptophyta | Embryophytes | Tracheophyta | Spermatophytes | Angiosperms | Monocots | Commelinids | Arecales | Arecaceae | Colpothrinax					multicellular		0.157867	37.2966	86	colpothrinax cookii	colpothrinax cookii	1089946									
pheidochloa gracilis	75																	graminoid																											C4 photosynthetic plant										Life | Cellular | Eukaryota | Archaeplastida | Chloroplastida | Streptophyta | Embryophytes | Tracheophyta | Spermatophytes | Angiosperms | Monocots | Commelinids | Poales | Poaceae | Pheidochloa				C4 photosynthetic plant	multicellular		0.134979	38.5779	83	pheidochloa gracilis	pheidochloa gracilis	221755									
lonicera japonica	74						isEatenBy	mutualisticWith					low life span				high tolerance		no			low tolerance	fast				terrestrial plant	low tolerance	medium (normal)		yes	high tolerance						terrestrial plant					broad		C3 photosynthetic plant		low tolerance				woody				Life | Cellular | Eukaryota | Archaeplastida | Chloroplastida | Streptophyta | Embryophytes | Tracheophyta | Spermatophytes | Angiosperms | Eudicots | Superasterids | Asterids | Dipsacales | Caprifoliaceae | Lonicera	tolerance		depend	C3 photosynthetic plant	multicellular	MSH1	0.155078	38.5838	81	lonicera japonica	lonicera japonica	105884									
cucurbita maxima	75						isEatenBy							Cerrado				herbaceous									terrestrial plant											terrestrial plant	monoecious				broad		C3 photosynthetic plant						herbaceous				Life | Cellular | Eukaryota | Archaeplastida | Chloroplastida | Streptophyta | Embryophytes | Tracheophyta | Spermatophytes | Angiosperms | Eudicots | Superrosids | Rosids | Cucurbitales | Cucurbitaceae | Cucurbita				C3 photosynthetic plant	multicellular	MSH1	0.157204	37.1161	85	cucurbita maxima	cucurbita maxima	3661									
sarcandra glabra	76																										terrestrial plant											terrestrial plant					broad								woody				Life | Cellular | Eukaryota | Archaeplastida | Chloroplastida | Streptophyta | Embryophytes | Tracheophyta | Spermatophytes | Angiosperms | Eudicots | Superrosids | Saxifragales | Crassulaceae | Phedimus					multicellular	MSH1	0.1589	39.2272	85	sarcandra glabra	sarcandra glabra	92927								terrestrial	
griffonia simplicifolia	74						isEatenBy																				terrestrial plant											terrestrial plant					broad								woody				Life | Cellular | Eukaryota | Archaeplastida | Chloroplastida | Streptophyta | Embryophytes | Tracheophyta | Spermatophytes | Angiosperms | Eudicots | Superrosids | Rosids | Fabales | Fabaceae | Griffonia					multicellular		0.157909	36.2874	83	griffonia simplicifolia	griffonia simplicifolia	3850									
helleborus thibetanus	76																																																											multicellular		0.155525	37.8518	84	helleborus thibetanus	helleborus thibetanus	171900									
glycyrrhiza inflata	72																										terrestrial plant											terrestrial plant					broad		C3 photosynthetic plant						herbaceous				Life | Cellular | Eukaryota | Archaeplastida | Chloroplastida | Streptophyta | Embryophytes | Tracheophyta | Spermatophytes | Angiosperms | Eudicots | Superrosids | Rosids | Fabales | Fabaceae | Glycyrrhiza				C3 photosynthetic plant	multicellular		0.127927	34.2492	75	glycyrrhiza inflata	glycyrrhiza inflata	74614									
celtis biondii	75						isEatenBy																																				broad		C3 photosynthetic plant						woody				Life | Cellular | Eukaryota | Archaeplastida | Chloroplastida | Streptophyta | Embryophytes | Tracheophyta | Spermatophytes | Angiosperms | Eudicots | Superrosids | Rosids | Rosales | Cannabaceae | Celtis				C3 photosynthetic plant	multicellular		0.159001	36.2696	86	celtis biondii	celtis biondii	1184750									
masdevallia coccinea	76																			perennial																																			Life | Cellular | Eukaryota | Archaeplastida | Chloroplastida | Streptophyta | Embryophytes | Tracheophyta | Spermatophytes | Angiosperms | Monocots | Asparagales | Orchidaceae | Masdevallia					multicellular		0.157423	36.8142	86	masdevallia coccinea	masdevallia coccinea	125431									
trifolium aureum	72					hostOf	isEatenBy	mutualisticWith		parasitizedBy	symbiontOf																terrestrial plant											terrestrial plant					broad		C3 photosynthetic plant						herbaceous				Life | Cellular | Eukaryota | Archaeplastida | Chloroplastida | Streptophyta | Embryophytes | Tracheophyta | Spermatophytes | Angiosperms | Eudicots | Superrosids | Rosids | Fabales | Fabaceae | Trifolium			depend	C3 photosynthetic plant	multicellular		0.12697	34.6192	76	trifolium aureum	trifolium aureum	361561								terrestrial	
pigafetta elata	76		palm															woody																																					Life | Cellular | Eukaryota | Archaeplastida | Chloroplastida | Streptophyta | Embryophytes | Tracheophyta | Spermatophytes | Angiosperms | Monocots | Commelinids | Arecales | Arecaceae | Pigafetta					multicellular		0.157708	37.3615	87	pigafetta elata	pigafetta elata	93304									
kalopanax septemlobus	76							mutualisticWith																			terrestrial plant											terrestrial plant					broad		C3 photosynthetic plant						woody				Life | Cellular | Eukaryota | Archaeplastida | Chloroplastida | Streptophyta | Embryophytes | Tracheophyta | Spermatophytes | Angiosperms | Eudicots | Superasterids | Asterids | Apiales | Araliaceae | Kalopanax			depend	C3 photosynthetic plant	multicellular		0.156413	37.9489	87	kalopanax septemlobus	kalopanax septemlobus	228393									
diplostephium ericoides	76																																																											multicellular		0.151982	37.3992	85	diplostephium ericoides	diplostephium ericoides	381990									
parinari oblongifolia	74																										terrestrial plant											terrestrial plant					broad		C3 photosynthetic plant						woody				Life | Cellular | Eukaryota | Archaeplastida | Chloroplastida | Streptophyta | Embryophytes | Tracheophyta | Spermatophytes | Angiosperms | Eudicots | Superrosids | Rosids | Malpighiales | Chrysobalanaceae | Parinari				C3 photosynthetic plant	multicellular		0.162512	36.2102	83	parinari oblongifolia	parinari oblongifolia	1272991								terrestrial	
dysosma delavayi	75																																																											multicellular		0.156214	37.9742	81	dysosma delavayi	dysosma delavayi	336383									
cordyline indivisa	74																			perennial							terrestrial plant											terrestrial plant					broad		C3 photosynthetic plant						woody				Life | Cellular | Eukaryota | Archaeplastida | Chloroplastida | Streptophyta | Embryophytes | Tracheophyta | Spermatophytes | Angiosperms | Monocots | Asparagales | Asparagaceae | Cordyline				C3 photosynthetic plant	multicellular		0.155196	37.8405	84	cordyline indivisa	cordyline indivisa	2016532									
passiflora tetrandra	72																																																						Life | Cellular | Eukaryota | Archaeplastida | Chloroplastida | Streptophyta | Embryophytes | Tracheophyta | Spermatophytes | Angiosperms | Eudicots | Superrosids | Rosids | Malpighiales | Passifloraceae | Passiflora					multicellular		0.159223	36.3566	80	passiflora tetrandra	passiflora tetrandra	237885								cave	
